_id,area_hydro,cat,city,cod,department,elevation,hi_subzone,hidro_zone,location.coordinates,location.type,name,state,stream,tech
620f13fedb317c8f7431d862,Amazonas,Limnigráfica,Leticia,48017010,Amazonas,120,Directos Río Amazonas (mi),Amazonas - Directos,"[-69.94272222,-4.22252778]",Point,LETICIA [48017010],Activa,Amazonas,Convencional
620f13fedb317c8f7431d863,Amazonas,Radio Sonda,Leticia,4801500132,Amazonas,82,Directos Río Amazonas (mi),Amazonas - Directos,"[-69.94305556,-4.19972222]",Point,RADIO SONDA LETICIA - AUT [4801500132],Activa,0,Automática con Telemetría
620f13fedb317c8f7431d864,Amazonas,Radio Sonda,Leticia,48015020,Amazonas,84,Directos Río Amazonas (mi),Amazonas - Directos,"[-69.94369444,-4.19938889]",Point,RADIOSONDA AEROPUERTO VASQUEZ COBO [48015020],Activa,0,Automática sin Telemetría
620f13fedb317c8f7431d865,Amazonas,Sinóptica Principal,Leticia,48015050,Amazonas,84,Directos Río Amazonas (mi),Amazonas - Directos,"[-69.94091667,-4.19386111]",Point,AEROPUERTO VASQUEZ COBO [48015050],Activa,Amazonas,Automática con Telemetría
620f13fedb317c8f7431d866,Amazonas,Limnimétrica,Leticia,48017050,Amazonas,83,Directos Río Amazonas (mi),Amazonas - Directos,"[-69.95027778,-4.19047222]",Point,BOcatOMA YAGUARCACA [48017050],Suspendida,Quebrada Yahuarcaca,Convencional
620f13fedb317c8f7431d867,Amazonas,Limnigráfica,Leticia,48017030,Amazonas,119,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.03608333,-4.12019444]",Point,NAZARETH [48017030],Activa,Amazonas,Convencional
620f13fedb317c8f7431d868,Amazonas,Limnimétrica,Leticia,4801700101,Amazonas,94,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.16658333,-3.95566667]",Point,PUERTO TRIUNFO [4801700101],Activa,Amazonas,Convencional
620f13fedb317c8f7431d869,Amazonas,Limnimétrica,Puerto Nariño,48017040,Amazonas,93,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.62561111,-3.83519444]",Point,BOCAS DEL ATACUARI [48017040],Suspendida,Atacuari,Convencional
620f13fedb317c8f7431d86a,Amazonas,Climática Ordinaria,Leticia,48015030,Amazonas,82,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.26088889,-3.81913889]",Point,PARQUE AMACAYACU [48015030],Suspendida,0,Convencional
620f13fedb317c8f7431d86b,Amazonas,Limnimétrica,Leticia,48017070,Amazonas,82,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.26066667,-3.81872222]",Point,PARQUE AMACAYACU [48017070],Suspendida,Amazonas,Convencional
620f13fedb317c8f7431d86c,Amazonas,Limnimétrica,Puerto Nariño,4801700102,Amazonas,98,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.32288889,-3.8025]",Point,VALENCIA [4801700102],Activa,Amazonas,Convencional
620f13fedb317c8f7431d86d,Amazonas,Meteorológica Especial,Puerto Nariño,48015060,Amazonas,330,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.66197778,-3.80219444]",Point,PNN AMACAYACU - AUT [48015060],Suspendida,0,Automática con Telemetría
620f13fedb317c8f7431d86e,Amazonas,Limnimétrica,Puerto Nariño,48017020,Amazonas,80,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.36430556,-3.78238889]",Point,PUERTO NARINO [48017020],Suspendida,Amazonas,Convencional
620f13fedb317c8f7431d86f,Amazonas,Climática Principal,Puerto Nariño,48015040,Amazonas,158,Directos Río Amazonas (mi),Amazonas - Directos,"[-70.36263889,-3.78030556]",Point,PUERTO NARINO - AUT [48015040],Activa,Amazonas,Automática con Telemetría
620f13fedb317c8f7431d870,Amazonas,Pluviométrica,Tarapacá,47100010,Amazonas,100,Río Putumayo Bajo,Putumayo,"[-69.73569444,-2.89472222]",Point,TARAPACA [47100010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d871,Amazonas,Limnigráfica,Tarapacá,47107010,Amazonas,98,Río Putumayo Bajo,Putumayo,"[-69.73555556,-2.89472222]",Point,TARAPACA [47107010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d872,Amazonas,Limnimétrica,Tarapacá,47107030,Amazonas,72,Río Cotuhe,Putumayo,"[-69.83169444,-2.86480556]",Point,SANTA LUCIA [47107030],Activa,Cotuhe,Convencional
620f13fedb317c8f7431d873,Amazonas,Pluviométrica,Tarapacá,47100020,Amazonas,72,Río Cotuhe,Putumayo,"[-69.83169444,-2.86480556]",Point,SANTA LUCIA [47100020],Activa,Cotuhe,Convencional
620f13fedb317c8f7431d874,Amazonas,Pluviométrica,Tarapacá,47090010,Amazonas,115,Río Putumayo Bajo,Putumayo,"[-70.3,-2.48333333]",Point,GAUDENCIO [47090010],Suspendida,Cotuhe,Convencional
620f13fedb317c8f7431d875,Amazonas,Limnimétrica,Tarapacá,47097010,Amazonas,110,Río Putumayo Bajo,Putumayo,"[-70.31666667,-2.46666667]",Point,BICARCO [47097010],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d876,Amazonas,Limnimétrica,Puerto Arica,47067020,Amazonas,120,Río Putumayo Bajo,Putumayo,"[-72.67277778,-2.44397222]",Point,ESTRECHO-MARANDUA [47067020],Activa,Putumayo,Convencional
620f13fedb317c8f7431d877,Amazonas,Limnimétrica,Puerto Arica,47087030,Amazonas,90,Río Putumayo Bajo,Putumayo,"[-71.51497222,-2.26727778]",Point,TROMPETEROS [47087030],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d878,Amazonas,Pluviométrica,Puerto Arica,47087010,Amazonas,115,Río Putumayo Bajo,Putumayo,"[-71.75222222,-2.14688889]",Point,ARICA - R. PUTUMAYO [47087010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d879,Amazonas,Limnimétrica,El Encanto,47067010,Amazonas,120,Río Putumayo Bajo,Putumayo,"[-73.19713889,-1.77155556]",Point,ENCANTO EL [47067010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d87a,Amazonas,Pluviométrica,El Encanto,47060010,Amazonas,120,Río Putumayo Bajo,Putumayo,"[-73.20516667,-1.74851]",Point,EL ENCANTO [47060010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d87b,Amazonas,Limnimétrica,El Encanto,47057010,Amazonas,125,Río Cará-Paraná,Putumayo,"[-73.23975,-1.68866667]",Point,SAN RAFAEL [47057010],Activa,Cara Parana,Convencional
620f13fedb317c8f7431d87c,Amazonas,Pluviométrica,El Encanto,47040050,Amazonas,125,Río Putumayo Directos (mi),Putumayo,"[-73.48483333,-1.61069444]",Point,SAN AGUSTIN [47040050],Activa,Cara Parana,Convencional
620f13fedb317c8f7431d87d,Amazonas,Limnimétrica,El Encanto,47047040,Amazonas,125,Río Putumayo Directos (mi),Putumayo,"[-73.48552778,-1.61002778]",Point,SAN AGUSTIN [47047040],Activa,Putumayo,Convencional
620f13fedb317c8f7431d87e,Amazonas,Limnimétrica,La Pedrera,44197010,Amazonas,108,Río Caqueta Bajo,Caquetá,"[-70.03333333,-1.55]",Point,PUERTO CAIMAN [44197010],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d87f,Amazonas,Limnimétrica,La Pedrera,44157040,Amazonas,109,Río Caqueta Bajo,Caquetá,"[-70.18,-1.53]",Point,MANACARO [44157040],Activa,Caqueta,Convencional
620f13fedb317c8f7431d880,Amazonas,Limnimétrica,La Chorrera,47077010,Amazonas,160,Río Igará-Paraná,Putumayo,"[-72.78958333,-1.44461111]",Point,CHORRERA LA [47077010],Activa,Igara Parana,Convencional
620f13fedb317c8f7431d881,Amazonas,Climática Principal,La Chorrera,47075010,Amazonas,160,Río Igará-Paraná,Putumayo,"[-72.78958333,-1.44461111]",Point,LA CHORRERA [47075010],Activa,0,Convencional
620f13fedb317c8f7431d882,Amazonas,Limnimétrica,Mirití-Paraná (Campoamor),44157030,Amazonas,114,Río Caqueta Bajo,Caquetá,"[-70.61,-1.42]",Point,MARIA MANTECA [44157030],Activa,Caqueta,Convencional
